,Equal Weight,Trad. MVO,ML-Enhanced MVO (rank±5%),Black-Litterman,HRP,CCBN-only Benchmark,ML-MVO Raw μ (ablation)
2024-04-18,1.1899465318053601,2.4914296305264623,2.4952854436311407,2.5503374380390866,1.0699503007250144,3.3639027371179275,2.4016206846039716
2024-04-19,1.188501827630725,2.4758797222456406,2.4796972162076254,2.5343563929478883,1.0695865805818083,3.3422138623016533,2.3894898392757895
2024-04-22,1.1855395160316398,2.4424513756017725,2.4462517171988436,2.498428464528601,1.0689619146215523,3.288433177384602,2.365179150570848
2024-04-23,1.188719265295344,2.4488754891815683,2.4526880218655416,2.5053599295307136,1.068697736531444,3.2991272784431938,2.376313655842796
2024-04-24,1.183895048474511,2.4358941219710957,2.4397272742319207,2.49156876112623,1.0646260365212739,3.279790104550866,2.3662835861673273
2024-04-25,1.1876267796427635,2.4577850170314037,2.4616222130277956,2.5145704377899354,1.0675587690700548,3.31191601137559,2.382653152119924
2024-04-26,1.196363826275508,2.4876331003795853,2.49149880167351,2.546251695453646,1.0767571624725067,3.3580352471716095,2.4059310002672345
2024-04-29,1.2009480354799817,2.4926193864676183,2.4965847712601894,2.5506126394037496,1.0772458667499347,3.362851169792055,2.420142973657543
2024-04-30,1.2058994058942574,2.496150333437972,2.500131139254969,2.553710191379029,1.0802829338259217,3.36499243135424,2.425388342884043
2024-05-02,1.2251778801393607,2.5174026844064232,2.5216999486463783,2.5744493477558383,1.0921982739001876,3.394846805912483,2.459139048437526
2024-05-03,1.2192342336102975,2.5121254118685834,2.516524491503834,2.568391605214738,1.086299008020674,3.386719438782931,2.457507445642362
2024-05-06,1.2261212991487942,2.5350598354968428,2.539679170593334,2.592175701903379,1.0851310525495854,3.4173690969295465,2.4859168790830735
2024-05-10,1.224491191038916,2.5699482443143293,2.5743821722920286,2.629348109406935,1.084951990906506,3.4753216458306757,2.5033335758960593
2024-05-13,1.2042720631671389,2.5964802247768404,2.6005433653608683,2.6606117841340513,1.0796355256043717,3.5382124554070558,2.483034704852024
2024-05-14,1.1993757892791066,2.574552423664494,2.5786247845690657,2.63581704769573,1.0753068951492166,3.49521552387302,2.459256152494888
2024-05-15,1.1988410446876856,2.604852221004366,2.6088799972588705,2.666890857777698,1.0750638540983168,3.5377110689132722,2.475710002440626
2024-05-16,1.1973529843611566,2.6008656578582325,2.6049119862864245,2.6618804418556046,1.0749065598046004,3.526985501797281,2.4678738882411846
2024-05-17,1.207030800249007,2.5927160357687353,2.596746655350079,2.652012026716589,1.0811515294819671,3.5077161156667365,2.4764816969627352
2024-05-20,1.2290683038412933,2.683678891482605,2.687674139745298,2.744831067079805,1.095535497115934,3.631617204031097,2.5544890643764986
2024-05-21,1.236107099625751,2.7819624421840743,2.785997605424328,2.8502892080455493,1.101943601106666,3.792471228712549,2.6187125611890565
2024-05-22,1.2435276862372147,2.8377888553151513,2.841876754676452,2.91011236568689,1.0987076574262582,3.8831495376711795,2.659296281009107
2024-05-23,1.2297729462931366,2.748590111577045,2.7526990014098174,2.819094195005386,1.0899102227135775,3.7618125738572545,2.5960490270757077
2024-05-24,1.2376216989771371,2.737523808680181,2.7415887072754197,2.804999015584906,1.0943614256651215,3.7320527676573585,2.592004933826629
2024-05-27,1.2412144814517745,2.7762591059706834,2.780342011570693,2.8472578958010915,1.0971284114157203,3.7992568927579957,2.61993722186358
2024-05-28,1.241827084984297,2.8008369790493637,2.8049433638543873,2.8744753116224993,1.1026719721861327,3.843980732283406,2.6326697238523757
2024-05-29,1.2346162663897289,2.7868972148094877,2.790886889592724,2.8618733867967534,1.09883426355207,3.8352723500342725,2.615972233007456
2024-05-30,1.2194952270564385,2.8028198483094964,2.806839042912456,2.8824057125998195,1.0893141997375748,3.879953335268397,2.6210440015708523
2024-05-31,1.213192801513561,2.7317610195461066,2.7357549300883104,2.8057242837681353,1.0866348601391917,3.7608938216841556,2.5718048884668363
2024-06-03,1.2148128769670823,2.775355084103375,2.779416477751355,2.852023653728247,1.0857023263842143,3.829201685710356,2.6036152094363887
2024-06-04,1.2082030099092573,2.7726675127070144,2.7766670496955244,2.850844871824461,1.0804177965347224,3.834843275382005,2.5992911707323594
2024-06-05,1.2121051302992005,2.811096436190301,2.815118804597575,2.8917712348854847,1.0817052533003308,3.896134442281595,2.627852574540741
2024-06-06,1.2113330080659053,2.823646275689415,2.8276712042979457,2.905734403813695,1.0811950817108542,3.9194964522432985,2.636598925304954
2024-06-07,1.2123648455833491,2.8217424373850712,2.8258443632780725,2.9036517615552895,1.08075759076899,3.9177475431059845,2.6373271096178996
2024-06-10,1.2086128598835177,2.818785566540827,2.8228385362679154,2.900789266872226,1.0795038807939021,3.9136190505520765,2.631376231753383
2024-06-11,1.2058216141904994,2.8153609898301992,2.819421594436734,2.898318185459816,1.0792470456540422,3.9136190505520765,2.6269020643174077
2024-06-12,1.198830842385237,2.79586844782914,2.799945487103305,2.877471647956714,1.0726525410908474,3.883963405346661,2.609541246881145
2024-06-13,1.2063708200087975,2.7917258191748817,2.7957647941376695,2.871847098822928,1.076619741412176,3.8717784121200958,2.6114174560747476
2024-06-14,1.203747635415113,2.8064898875031186,2.8105279867169255,2.8885816469092536,1.0740240414478637,3.898506092254122,2.6204520702030494
2024-06-17,1.2004026142895454,2.804969440851496,2.808905298861173,2.887429044529311,1.0748959827020648,3.896378667321517,2.6120601337640608
2024-06-18,1.2006746987472368,2.7959156394397513,2.799858670963364,2.8772841125353166,1.0745694556384202,3.8806081474393603,2.606589557602137
2024-06-19,1.2045488342114772,2.802677184167333,2.8065418942114846,2.8845987607867514,1.0783193567692875,3.889954919994272,2.6116450306045356
2024-06-20,1.20454130169559,2.7993391753271557,2.803066576186079,2.880811576319617,1.0787015008343486,3.8814383212557173,2.602321263549883
